value_id,semantic_name,kind,definition_index,first_use_index,final_use_index,lifetime_start,lifetime_end,alignment_bytes,byte_size,aligned_byte_size,storage_class,arena_offset,external,immutable,protected
v0000,block.input.hidden_states,input,0,2,26,0,26,64,32768,32768,external_input,,true,false,true
v0001,model.parameter.block.attention_norm.weight,parameter,1,2,2,1,2,64,512,512,external_immutable,,true,true,true
v0002,block.attention_norm.output,intermediate,2,4,13,2,13,64,32768,32768,arena_reusable,0,false,false,false
v0003,model.parameter.block.attention.query_projection.weight,parameter,3,4,4,3,4,64,65536,65536,external_immutable,,true,true,true
v0004,block.attention.query_projection.output,intermediate,4,5,5,4,5,64,32768,32768,arena_reusable,32768,false,false,false
v0005,block.attention.query.reshape.output,intermediate,5,6,6,5,6,64,32768,32768,arena_reusable,65536,false,false,false
v0006,block.attention.query.transpose.output,intermediate,6,16,16,6,16,64,32768,32768,arena_reusable,32768,false,false,false
v0007,model.parameter.block.attention.key_projection.weight,parameter,7,8,8,7,8,64,65536,65536,external_immutable,,true,true,true
v0008,block.attention.key_projection.output,intermediate,8,9,9,8,9,64,32768,32768,arena_reusable,65536,false,false,false
v0009,block.attention.key.reshape.output,intermediate,9,10,10,9,10,64,32768,32768,arena_reusable,98304,false,false,false
v0010,block.attention.key.transpose_heads.output,intermediate,10,11,11,10,11,64,32768,32768,arena_reusable,65536,false,false,false
v0011,block.attention.key.transpose_scores.output,intermediate,11,16,16,11,16,64,32768,32768,arena_reusable,98304,false,false,false
v0012,model.parameter.block.attention.value_projection.weight,parameter,12,13,13,12,13,64,65536,65536,external_immutable,,true,true,true
v0013,block.attention.value_projection.output,intermediate,13,14,14,13,14,64,32768,32768,arena_reusable,65536,false,false,false
v0014,block.attention.value.reshape.output,intermediate,14,15,15,14,15,64,32768,32768,arena_reusable,0,false,false,false
v0015,block.attention.value.transpose.output,intermediate,15,21,21,15,21,64,32768,32768,arena_reusable,65536,false,false,false
v0016,block.attention.scores.matmul.output,intermediate,16,18,18,16,18,64,32768,32768,arena_reusable,0,false,false,false
v0017,block.attention.scores.scale,constant,17,18,18,17,18,64,4,64,external_immutable,,true,true,true
v0018,block.attention.scores.scale_mul.output,intermediate,18,19,19,18,19,64,32768,32768,arena_reusable,32768,false,false,false
v0019,block.attention.causal_mask.output,intermediate,19,20,20,19,20,64,32768,32768,arena_reusable,0,false,false,false
v0020,block.attention.softmax.output,intermediate,20,21,21,20,21,64,32768,32768,arena_reusable,32768,false,false,false
v0021,block.attention.context.matmul.output,intermediate,21,22,22,21,22,64,32768,32768,arena_reusable,0,false,false,false
v0022,block.attention.context.transpose.output,intermediate,22,23,23,22,23,64,32768,32768,arena_reusable,32768,false,false,false
v0023,block.attention.context.reshape.output,intermediate,23,25,25,23,25,64,32768,32768,arena_reusable,0,false,false,false
v0024,model.parameter.block.attention.output_projection.weight,parameter,24,25,25,24,25,64,65536,65536,external_immutable,,true,true,true
v0025,block.attention.output_projection.output,intermediate,25,26,26,25,26,64,32768,32768,arena_reusable,32768,false,false,false
v0026,block.add.output,intermediate,26,28,34,26,34,64,32768,32768,arena_reusable,0,false,false,false
v0027,model.parameter.block.mlp_norm.weight,parameter,27,28,28,27,28,64,512,512,external_immutable,,true,true,true
v0028,block.mlp_norm.output,intermediate,28,30,30,28,30,64,32768,32768,arena_reusable,32768,false,false,false
v0029,model.parameter.block.mlp.0.weight,parameter,29,30,30,29,30,64,196608,196608,external_immutable,,true,true,true
v0030,block.mlp.0.output,intermediate,30,31,31,30,31,64,98304,98304,arena_reusable,131072,false,false,false
v0031,block.mlp.1.output,intermediate,31,33,33,31,33,64,98304,98304,arena_reusable,32768,false,false,false
v0032,model.parameter.block.mlp.2.weight,parameter,32,33,33,32,33,64,196608,196608,external_immutable,,true,true,true
v0033,block.mlp.2.output,intermediate,33,34,34,33,34,64,32768,32768,arena_reusable,131072,false,false,false
v0034,block.output.hidden_states,output,34,,35,34,35,64,32768,32768,arena_output,229376,false,false,true
